data,naoInfetados,Infetados,hospitalizados,internadosUCI,obitos
01-08-2021,10099377,50054,923,200,8
02-08-2021,10099587,49787,968,203,9
03-08-2021,10101901,47476,945,204,19
04-08-2021,10102014,47374,919,204,15
05-08-2021,10104209,45198,898,196,10
06-08-2021,10104777,44646,866,194,18
07-08-2021,10105424,44018,838,186,17
08-08-2021,10104490,44933,849,184,10
09-08-2021,10104658,44734,857,189,18
10-08-2021,10106162,43244,829,186,17
11-08-2021,10105524,43919,785,181,12
12-08-2021,10105068,44407,754,169,11
13-08-2021,10105037,44455,732,162,12
14-08-2021,10105293,44193,727,161,12
15-08-2021,10104093,45367,744,157,13
16-08-2021,10104124,45304,768,154,11
17-08-2021,10105706,43745,744,144,11
18-08-2021,10104983,44505,695,139,17
19-08-2021,10104672,44809,688,141,12
20-08-2021,10104555,44916,687,143,9
21-08-2021,10104879,44588,681,145,8
22-08-2021,10103959,45465,708,152,9
23-08-2021,10103852,45542,733,151,6
24-08-2021,10105221,44180,716,148,13
25-08-2021,10104427,44990,688,144,16
26-08-2021,10104006,45408,670,150,15
27-08-2021,10103975,45426,675,144,14
28-08-2021,10104455,44957,657,143,8
29-08-2021,10103697,45659,698,148,10
30-08-2021,10103758,45581,705,149,9
31-08-2021,10105280,44087,677,136,13
01-09-2021,10106081,43273,681,131,14
02-09-2021,10105365,43957,695,140,9
03-09-2021,10106025,43309,681,136,6
04-09-2021,10106977,42358,664,139,13
05-09-2021,10106899,42423,665,138,13
06-09-2021,10107326,41965,682,140,12
07-09-2021,10109412,39910,650,135,6
08-09-2021,10109676,39665,621,135,10
09-09-2021,10110123,39240,597,127,10
10-09-2021,10110773,38620,569,118,7
11-09-2021,10111660,37737,552,121,10
12-09-2021,10111554,37819,569,120,8
13-09-2021,10111987,37365,586,119,5
14-09-2021,10113395,35989,551,116,6
15-09-2021,10113855,35540,527,119,10
16-09-2021,10114270,35165,497,103,6
17-09-2021,10114831,34626,474,97,7
18-09-2021,10115522,33952,457,90,7
19-09-2021,10115502,33973,455,86,5
20-09-2021,10115822,33634,471,82,7
21-09-2021,10116867,32598,455,78,11
22-09-2021,10117217,32269,426,78,8
23-09-2021,10117332,32166,412,75,5
24-09-2021,10117731,31759,410,76,9
25-09-2021,10117999,31481,408,83,5
26-09-2021,10117936,31535,415,83,2
27-09-2021,10118184,31285,420,79,1
28-09-2021,10118941,30547,399,74,7
29-09-2021,10119006,30495,386,68,6
30-09-2021,10118905,30611,366,66,7
01-10-2021,10119019,30501,357,67,4
02-10-2021,10119278,30257,337,65,7
03-10-2021,10119152,30367,342,69,7
04-10-2021,10119282,30222,351,68,7
05-10-2021,10119627,29884,346,62,4
06-10-2021,10119448,30058,349,60,4
07-10-2021,10119576,29918,353,57,11
08-10-2021,10119458,30054,332,52,8
09-10-2021,10119529,29984,321,55,7
10-10-2021,10119338,30155,334,55,7
11-10-2021,10119294,30167,356,58,7
12-10-2021,10119629,29837,345,56,8
13-10-2021,10119435,30034,335,54,9
14-10-2021,10119398,30077,321,56,6
15-10-2021,10119277,30212,301,55,7
16-10-2021,10119380,30111,285,59,10
17-10-2021,10119161,30309,295,61,9
18-10-2021,10119244,30205,312,62,3
19-10-2021,10119437,30021,299,60,6
20-10-2021,10119102,30368,286,58,3
21-10-2021,10118899,30561,288,58,8
22-10-2021,10118649,30805,284,60,8
23-10-2021,10118510,30955,274,55,4
24-10-2021,10118157,31312,269,52,4
25-10-2021,10118100,31336,290,59,5
26-10-2021,10118541,30878,301,62,3
