data,total_infetados,total_hospitalizados,total_internadosUCI,total_obitos,
2021-12-01,55778,841,116,17,
2021-12-02,57638,916,128,13,
2021-12-03,56439,902,129,21,
2021-12-04,58833,879,130,22,
2021-12-05,61363,911,134,23,
2021-12-06,62157,948,135,14,
2021-12-07,60584,936,133,21,
2021-12-08,62834,917,138,15,
2021-12-09,65130,961,142,23,
2021-12-10,64499,947,137,16,
2021-12-11,65648,952,142,19,
2021-12-12,68117,964,143,13,
2021-12-13,68538,994,144,15,
2021-12-14,65757,953,142,14,
2021-12-15,67960,967,150,11,
2021-12-16,69672,952,158,19,
2021-12-17,70406,943,147,24,
2021-12-18,70440,905,147,12,
2021-12-19,72989,931,145,25,
2021-12-20,73700,943,152,18,
2021-12-21,72887,904,153,16,
2021-12-22,78059,909,155,11,
2021-12-23,84643,893,148,17,
2021-12-24,91947,864,149,11,
2021-12-25,99594,857,152,10,
2021-12-26,101719,878,151,13,
2021-12-27,105614,914,150,16,
2021-12-28,114541,936,152,19,
2021-12-29,136020,971,151,12,
2021-12-30,158424,1034,144,16,
2021-12-31,178712,1024,145,18,
